value,count
SEATTLE,293792
BELLEVUE,92337
REDMOND,66199
VANCOUVER,63378
BOTHELL,55751
KIRKLAND,52999
SAMMAMISH,51275
RENTON,47527
TACOMA,39018
OLYMPIA,38008
BELLINGHAM,30013
KENT,28552
SPOKANE,27589
ISSAQUAH,27497
LYNNWOOD,27166
EVERETT,27002
WOODINVILLE,23931
MERCER ISLAND,23283
AUBURN,20138
SNOHOMISH,20123
SHORELINE,19737
EDMONDS,19474
GIG HARBOR,18918
BAINBRIDGE ISLAND,17604
FEDERAL WAY,15224
CAMAS,14789
TUKWILA,14721
PUYALLUP,14102
MAPLE VALLEY,14048
BREMERTON,13234
LAKE STEVENS,13221
MARYSVILLE,12916
PORT ORCHARD,11344
KENMORE,10541
SEATAC,10175
BONNEY LAKE,9977
RICHLAND,9781
BURIEN,9622
KENNEWICK,9579
LACEY,9299
SNOQUALMIE,8793
NEWCASTLE,8688
RIDGEFIELD,8507
MUKILTEO,7744
LAKEWOOD,7734
MONROE,7537
POULSBO,7383
NORTH BEND,6967
YAKIMA,6935
SPOKANE VALLEY,6875
UNIVERSITY PLACE,6870
LAKE FOREST PARK,6773
MOUNT VERNON,6684
MILL CREEK,6677
ANACORTES,6565
VASHON,6445
PASCO,6346
PORT TOWNSEND,6225
DUVALL,6089
BATTLE GROUND,6053
SEQUIM,5976
SOUTH HILL,5959
ARLINGTON,5912
WASHOUGAL,5651
COVINGTON,5581
DES MOINES,5248
TUMWATER,5224
OAK HARBOR,4773
PORT ANGELES,4639
SPANAWAY,4594
CAMANO ISLAND,4571
MOUNTLAKE TERRACE,4462
WENATCHEE,4313
STANWOOD,4275
SHELTON,4180
FRIDAY HARBOR,4099
BLAINE,4072
SILVERDALE,3898
FERNDALE,3778
GRAHAM,3688
CARNATION,3564
WALLA WALLA,3521
LONGVIEW,3490
LAKE TAPPS,3426
ENUMCLAW,3402
MEDINA,3376
CLYDE HILL,3215
MOSES LAKE,3205
BLACK DIAMOND,3132
YELM,3092
EDGEWOOD,2881
KINGSTON,2872
CENTRALIA,2847
EAST WENATCHEE,2841
BRUSH PRAIRIE,2813
ELLENSBURG,2682
EASTSOUND,2681
NORMANDY PARK,2673
BUCKLEY,2538
LEAVENWORTH,2459
LANGLEY,2447
PULLMAN,2407
BRIER,2392
WEST RICHLAND,2340
CLINTON,2316
FALL CITY,2295
LYNDEN,2256
COUPEVILLE,2249
LIBERTY LAKE,2241
CHEHALIS,2197
FOX ISLAND,2106
BURLINGTON,2072
FIFE,2070
CLE ELUM,1937
FREELAND,1897
SEDRO-WOOLLEY,1872
WOODLAND,1867
LA CENTER,1853
DUPONT,1805
SUMNER,1804
ORTING,1789
SULTAN,1740
KELSO,1737
STEILACOOM,1672
CHENEY,1620
ABERDEEN,1597
PORT LUDLOW,1562
BELFAIR,1519
YARROW POINT,1478
FIRCREST,1437
