value,count
PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),644714
PUGET SOUND ENERGY INC,355084
CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),313483
BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),101327
BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,81226
PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,41379
BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,28107
BONNEVILLE POWER ADMINISTRATION||PUD 1 OF SNOHOMISH COUNTY,15674
PACIFICORP,13839
BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF BENTON COUNTY,13575
MODERN ELECTRIC WATER COMPANY,11671
PUD NO 1 OF CHELAN COUNTY,10234
BONNEVILLE POWER ADMINISTRATION||PUGET SOUND ENERGY INC||PUD NO 1 OF JEFFERSON COUNTY,9639
BONNEVILLE POWER ADMINISTRATION||CITY OF RICHLAND - (WA),9598
BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF COWLITZ COUNTY,9019
BONNEVILLE POWER ADMINISTRATION||ORCAS POWER & LIGHT COOP,8949
BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLALLAM COUNTY,8437
BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 3 OF MASON COUNTY,7395
NON WASHINGTON STATE ELECTRIC UTILITY,7271
BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF FRANKLIN COUNTY,6248
BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF GRAYS HARBOR COUNTY,6225
PUD NO 2 OF GRANT COUNTY,5968
BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||ELMHURST MUTUAL POWER & LIGHT CO|PENINSULA LIGHT COMPANY,5342
AVISTA CORP,3948
BONNEVILLE POWER ADMINISTRATION||VERA IRRIGATION DISTRICT #15,3867
PUD NO 1 OF DOUGLAS COUNTY,3698
BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 1 OF LEWIS COUNTY,3490
BONNEVILLE POWER ADMINISTRATION||INLAND POWER & LIGHT COMPANY,3449
BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF KLICKITAT COUNTY,2886
CITY OF TACOMA - (WA)||TANNER ELECTRIC COOP,2534
BONNEVILLE POWER ADMINISTRATION||CITY OF PORT ANGELES - (WA),2360
BONNEVILLE POWER ADMINISTRATION||PACIFICORP||PUD NO 1 OF CLARK COUNTY - (WA),2286
NO KNOWN ELECTRIC UTILITY SERVICE,2261
BONNEVILLE POWER ADMINISTRATION||PUD NO 2 OF PACIFIC COUNTY,2069
BONNEVILLE POWER ADMINISTRATION||CITY OF CENTRALIA - (WA)|CITY OF TACOMA - (WA),2043
BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||LAKEVIEW LIGHT & POWER|PENINSULA LIGHT COMPANY,1901
