value,count
Model Y,289015
Model 3,264201
Leaf,193845
Model S,92866
Volt,68159
Model X,53364
Bolt EV,53348
Prius Prime (PHEV),29084
Mustang Mach-E,28695
ID.4,28591
Niro,27626
i3,26022
Pacifica,25039
Ioniq 5,24777
Wrangler,24735
Fusion,24648
RAV4 Prime (PHEV),21652
C-Max,21512
X5,20952
R1S,19393
EV6,18016
F-150,14889
Bolt EUV,14709
XC90,14397
Prius,13792
R1T,12596
e-Golf,10814
XC60,10603
Solterra,10278
Soul,9780
i4,9413
500,9084
e-tron,8552
Kona,8319
Clarity,7839
Grand Cherokee,7719
Ariya Hatchback,7658
XC40,7551
EV9,7346
Q5 e,7198
iX,7132
PS2,6908
Outlander,6825
Prologue,6793
Sportage,6619
A3,6543
bZ4X,6353
Equinox,6242
Cybertruck,6104
Lyriq,5825
Taycan,5417
CX-90,5126
Sorento,4905
Hardtop,4848
Focus,4650
Blazer,4583
Q4,4570
330e,4219
EDV,4002
Cayenne,3935
530e,3769
Ioniq 6,3750
Escape,3577
Tucson,2834
C40,2830
Spark,2819
GLC-Class,2807
EQB-Class,2723
Hornet,2708
Countryman,2591
RZ,2535
X3,2479
NX,2424
Air,2423
Fortwo Electric Drive,2381
Transit,2381
EQE-Class SUV,2184
Ioniq,2168
Q8,2150
I-PACE,2060
GLE-Class,1876
Ariya MPV,1872
EQS-Class SUV,1757
Silverado,1701
EQS-Class Sedan,1566
Optiq,1474
Panamera,1434
i8,1418
e-tron Sportback,1418
bZ,1400
Santa Fe,1319
Optima,1297
GV60,1279
i-MiEV,1262
i5,1254
Hummer EV SUV,1250
B-Class,1233
ID. Buzz,1219
Aviator,1217
RX,1202
Roadster,1200
S60,1193
ELR,1177
ZDX,1128
EX30,1115
Q6,1104
Corsair,1081
e-tron GT,1033
Macan,1006
Q5,966
Sonata,952
EQE-Class Sedan,911
RAV4,848
Ioniq 9,791
Polestar 3,769
Crosstrek,741
Ocean,670
Vistiq,669
EX90,649
Fortwo,637
Range Rover Sport,583
GV70,541
CX-70,521
Wagoneer S,506
EQ Fortwo,496
V60,442
Tonale,413
Sierra,389
Range Rover,371
500e,367
RS e-tron GT,363
Karma,338
i7,335
Hummer EV Pickup,332
Gravity,319
Charger,296
740e,296
Ioniq 5 N,291
S90,282
Bolt,254
Ranger,251
S-Class,239
C-Class,210
M5,188
TX,172
EX40,167
CT6,163
E-Class,152
SQ6,147
XM,144
Zevo,136
550e,133
Accord,128
Uncharted,121
A6,121
SQ8,120
Trailseeker,117
G80,112
G-Class,112
C-HR,112
BrightDrop,106
745e,105
Transit Connect Electric,104
A7 e,97
Polestar 4,92
MX-30,82
City,75
Wheego,74
ProMaster 3500,69
eSprinter,68
S6,61
EX30 CC,52
Mirai,52
Revuelto,43
URUS,41
750e,33
bZ Woodland,32
S-10 Pickup,31
S e-tron GT,26
A8 e,23
ONE,21
Spectre,20
Bentayga,18
745Le,18
SL-Class,17
918,17
AMG GT,17
Flying Spur,17
Caravan,8
VF 8,7
Continental,7
CLA-Class,6
Rogue,6
Bubble Buddy,6
ES,6
Fit,6
RCV,4
Temerario,4
Voyager,3
Grancabrio,2
Nexo,2
Valhalla,2
