value,count
0,1277600
15,106553
50,26059
10,14567
5,12826
100,10591
12,6655
11,6291
8,5538
6,5432
7,5222
9,5154
13,4471
14,4389
16,3798
25,3605
20,3499
17,3487
18,3294
19,2831
4,2699
21,2590
22,2452
24,2112
23,2023
3,1862
26,1839
30,1801
35,1719
27,1702
28,1619
2,1527
29,1477
31,1423
32,1421
40,1264
45,1243
34,1237
33,1209
36,1208
37,1059
38,1059
42,1013
41,1002
39,986
55,890
44,879
48,871
43,846
75,816
46,810
47,801
52,790
49,758
60,729
1,727
95,711
51,701
65,677
54,661
150,641
53,619
58,591
59,566
56,557
57,540
61,531
70,488
62,486
85,470
64,468
80,450
67,433
68,432
63,423
72,388
69,386
66,384
73,382
74,372
200,367
71,367
78,365
77,364
79,354
76,353
88,344
81,322
91,314
89,306
83,299
99,290
84,289
82,286
125,285
101,285
90,272
86,271
98,267
105,262
87,249
93,244
96,243
110,237
92,230
250,226
94,223
120,219
97,205
102,203
115,195
121,189
104,189
112,188
106,186
111,181
103,180
109,179
108,176
114,176
113,169
107,169
117,160
124,160
126,155
175,147
122,144
499,143
140,143
123,143
152,142
128,138
119,137
225,137
116,135
135,135
127,132
129,129
137,129
300,129
118,128
151,125
130,125
148,123
155,120
131,117
145,111
133,110
132,109
350,106
144,104
153,104
138,103
139,101
136,100
134,99
146,99
149,99
167,97
141,96
165,96
154,94
184,93
180,93
163,92
156,91
158,89
197,89
147,88
143,87
168,87
185,87
157,87
162,87
142,87
187,86
201,86
160,86
161,85
170,85
220,84
176,83
199,82
500,82
181,81
230,81
177,80
202,79
198,78
178,78
212,78
169,76
189,76
164,76
215,75
205,75
208,74
"30,000",73
195,73
174,73
214,70
172,69
191,69
159,69
497,69
222,67
450,67
399,67
213,66
183,65
255,65
173,64
246,63
186,63
210,63
219,63
211,62
223,62
179,61
193,61
171,61
236,60
206,60
275,60
196,60
207,60
218,59
249,59
190,59
"15,000",58
209,58
498,56
166,56
231,56
295,55
203,55
285,55
265,54
204,54
252,54
192,53
194,53
"50,000",53
228,53
188,52
240,52
"20,000",51
315,51
182,51
"32,000",50
235,50
248,49
226,49
216,49
"10,000",49
229,49
242,49
251,48
268,47
254,47
"25,000",47
253,47
"22,000",46
224,46
221,46
310,46
267,46
"60,000",45
217,45
234,45
260,44
237,44
238,44
"12,000",44
256,44
239,43
400,43
489,43
299,42
259,42
232,42
262,42
"40,000",41
227,41
278,41
283,41
298,41
292,40
245,40
325,40
276,40
247,39
308,39
"17,000",39
266,39
"36,000",38
305,38
"16,000",38
243,37
233,37
375,37
241,37
"5,000",37
261,36
"23,000",36
"6,000",36
"35,000",36
280,35
395,35
311,35
301,35
"55,000",35
291,35
"8,000",34
496,34
264,34
"33,000",33
"11,000",33
"52,000",33
"38,000",33
"56,000",33
"21,000",33
"3,000",33
294,33
306,33
289,33
263,33
"41,000",33
270,33
269,33
"14,000",32
352,32
385,32
272,32
288,31
"26,000",31
274,31
293,31
326,31
488,31
"45,000",31
273,31
281,30
277,30
"75,000",30
"28,000",30
480,30
397,30
"34,000",30
312,30
"1,000",29
320,29
279,29
286,29
"31,000",29
321,29
"18,000",29
290,29
425,29
"24,000",29
258,29
313,29
"62,000",29
287,28
"65,000",28
271,28
455,28
"1,500",28
355,28
"39,000",28
316,28
"7,000",28
318,28
"13,000",28
324,27
358,27
"4,000",27
398,27
317,27
307,27
"80,000",27
"3,500",27
475,27
257,27
410,27
389,27
303,27
244,27
485,27
296,27
370,26
"72,000",26
"42,000",26
492,26
411,26
"19,000",26
"48,000",26
337,26
347,26
"16,500",26
"43,000",26
348,26
401,26
"70,000",25
387,25
323,25
336,25
495,25
"46,000",25
353,25
328,25
"51,000",24
297,24
331,24
340,24
"6,500",24
490,24
361,24
"7,500",23
"29,000",23
"4,364",23
493,23
"58,000",23
"9,000",23
345,22
"11,100",22
302,22
344,22
