value,count
"September 30, 2025",771
"March 31, 2025",597
"December 27, 2024",592
"March 29, 2025",583
"December 31, 2024",573
"June 30, 2025",568
"September 29, 2025",541
"September 30, 2023",529
"September 27, 2025",523
"July 31, 2025",521
"March 30, 2024",514
"June 30, 2023",507
"March 31, 2026",507
"December 29, 2023",506
"September 30, 2024",504
"December 30, 2023",490
"August 31, 2024",473
"September 20, 2025",473
"September 28, 2024",463
"September 13, 2025",453
"March 28, 2026",452
"December 21, 2024",450
"August 30, 2025",448
"September 26, 2025",448
"December 31, 2023",447
"December 27, 2023",446
"December 31, 2025",443
"December 14, 2024",442
"December 30, 2024",439
"November 29, 2024",439
"June 28, 2025",437
"December 28, 2023",437
"December 07, 2024",435
"March 28, 2025",431
"March 22, 2025",429
"March 30, 2025",429
"June 24, 2023",427
"March 29, 2024",426
"September 19, 2025",426
"September 27, 2024",424
"August 29, 2025",421
"July 26, 2025",418
"September 12, 2025",417
"December 16, 2023",416
"September 28, 2025",414
"December 28, 2024",412
"May 31, 2024",409
"November 30, 2024",405
"April 18, 2026",405
"June 29, 2024",400
"September 10, 2025",398
"August 23, 2025",397
"October 19, 2024",396
"September 29, 2023",395
"May 31, 2025",393
"September 24, 2025",393
"July 25, 2025",391
"September 21, 2024",391
"September 24, 2024",390
"July 30, 2025",387
"June 28, 2023",386
"March 18, 2022",386
"March 21, 2026",384
"November 23, 2024",383
"March 31, 2024",381
"March 27, 2026",381
"September 16, 2023",380
"June 15, 2024",380
"September 06, 2025",379
"June 29, 2025",377
"March 27, 2025",377
"May 25, 2024",374
"December 20, 2024",374
"June 21, 2024",373
"March 15, 2025",373
"April 25, 2026",373
"August 16, 2025",372
"June 27, 2025",372
"June 29, 2023",372
"June 16, 2023",368
"January 31, 2025",368
"September 25, 2025",367
"August 24, 2024",367
"December 26, 2024",366
"May 24, 2024",366
"December 09, 2023",366
"March 23, 2024",366
"July 29, 2025",366
"November 16, 2024",364
"June 28, 2024",363
"October 18, 2024",363
"August 17, 2024",362
"August 30, 2024",362
"March 21, 2025",362
"February 28, 2026",361
"August 23, 2024",360
"March 08, 2025",359
"September 23, 2023",358
"September 25, 2024",357
"June 23, 2023",356
"May 18, 2024",355
"December 15, 2023",354
"September 09, 2023",353
"December 22, 2023",352
"March 26, 2026",352
"September 29, 2024",351
"September 23, 2025",350
"July 19, 2025",350
"April 27, 2024",350
"September 18, 2025",348
"December 23, 2023",347
"October 17, 2024",347
"August 22, 2025",347
"August 03, 2024",347
"May 10, 2025",346
"August 09, 2025",346
"December 02, 2023",345
"April 30, 2025",344
"March 25, 2025",344
"November 09, 2024",342
"June 21, 2025",342
"February 22, 2025",338
"August 15, 2024",337
"October 12, 2024",337
"September 11, 2025",337
"April 11, 2026",336
"July 31, 2024",336
"March 29, 2023",335
"February 28, 2025",335
"August 08, 2025",335
"August 14, 2024",334
"March 31, 2023",334
"December 26, 2025",333
"March 29, 2026",332
"May 23, 2025",330
"August 10, 2024",330
"March 30, 2026",330
"April 26, 2025",330
"October 28, 2023",329
"December 06, 2024",328
"January 25, 2025",328
"September 20, 2024",327
"September 21, 2025",327
"December 13, 2024",327
"November 26, 2024",326
"March 14, 2026",326
"May 30, 2025",325
"September 29, 2018",325
"April 30, 2024",324
"August 27, 2025",324
"May 24, 2025",324
"December 23, 2024",324
"August 27, 2024",324
"September 08, 2023",323
"December 10, 2024",323
"July 24, 2025",323
"August 20, 2025",323
"August 02, 2024",322
"May 27, 2023",322
"December 12, 2023",322
"August 28, 2024",322
"March 26, 2025",321
"August 06, 2024",321
"March 20, 2026",320
"December 21, 2023",320
"August 09, 2023",319
"July 22, 2025",319
"January 28, 2023",318
"December 29, 2025",318
"November 27, 2024",317
"December 19, 2023",317
"March 07, 2026",316
"June 10, 2023",316
"September 22, 2023",316
"August 21, 2025",316
"July 18, 2025",315
"May 22, 2024",315
"March 14, 2025",314
"November 22, 2024",314
"August 09, 2024",314
"July 22, 2023",313
"March 22, 2024",313
"November 30, 2023",313
"December 31, 2022",313
"December 27, 2025",312
"September 13, 2024",311
"August 26, 2023",311
"August 29, 2024",311
"January 18, 2025",311
"December 26, 2023",311
"August 15, 2025",310
"December 30, 2025",310
"August 16, 2024",310
"October 16, 2024",308
"April 20, 2024",308
"September 17, 2025",307
"April 17, 2026",307
"June 22, 2023",307
"December 20, 2025",307
"March 16, 2024",306
"February 18, 2023",306
"October 31, 2024",306
"February 24, 2024",306
"August 13, 2024",306
"June 14, 2024",306
"August 26, 2025",305
"January 11, 2025",305
"May 17, 2024",305
"September 05, 2023",305
"July 15, 2023",304
"April 30, 2026",304
"June 27, 2023",304
"June 08, 2024",303
"April 25, 2025",303
"May 17, 2025",303
"January 31, 2026",302
"June 26, 2025",302
