value,count
$0,1368489
"$51,630",4074
"$50,630",3209
"$52,630",2991
"$49,630",2037
"$52,130",1897
"$50,130",1662
"$51,130",1640
"$53,630",1555
"$35,000",1378
"$54,630",1346
"$48,630",1313
"$49,130",1288
"$53,130",1243
"$44,130",1188
"$46,630",1185
"$56,630",1130
"$55,630",1129
"$24,999",1083
"$25,000",945
"$47,630",908
"$54,130",886
"$44,999",843
"$43,630",840
"$44,630",833
"$40,630",815
"$46,130",807
"$45,630",796
"$48,130",778
"$56,130",754
"$61,630",730
"$55,130",717
"$51,290",685
"$52,440",682
"$54,290",675
"$53,290",670
"$52,290",667
"$55,290",657
"$58,630",654
"$102,235",637
"$56,000",634
"$60,440",630
"$24,995",599
"$65,440",596
"$61,440",583
"$45,130",579
"$5,000",555
"$59,440",554
"$30,000",550
"$59,630",549
"$41,630",549
"$49,000",547
"$57,630",542
"$64,440",540
"$66,440",520
"$56,290",519
"$10,000",514
"$57,440",509
"$45,000",500
"$43,130",496
"$47,130",487
"$52,190",486
"$57,290",475
"$62,440",473
"$20,000",471
"$58,440",468
"$57,130",467
"$63,440",466
"$58,290",465
"$60,630",459
"$15,000",430
"$55,000",419
"$50,000",419
"$29,999",412
"$40,000",410
"$58,130",407
"$41,290",407
"$51,000",404
"$8,000",396
"$29,900",389
"$59,290",376
"$69,440",372
"$40,490",370
"$56,440",367
"$63,290",361
"$60,000",360
"$59,130",358
"$3,000",355
"$16,000",351
"$42,290",350
"$62,290",348
"$56,190",348
"$48,180",346
"$51,190",346
"$55,190",346
"$31,000",346
"$42,630",345
"$53,440",343
"$29,000",340
"$71,440",339
"$4,000",338
"$78,000",337
"$2,000",336
"$7,000",335
"$41,190",335
"$28,000",334
"$47,200",325
"$74,752",324
"$40,190",323
"$70,440",321
"$32,000",321
"$1,000",317
"$12,000",316
"$6,000",313
"$14,000",307
"$18,000",305
"$24,998",305
"$40,290",302
"$9,000",302
"$67,440",301
"$44,995",301
"$33,000",300
"$24,000",300
"$59,000",295
"$53,190",295
"$54,000",290
"$57,500",289
"$49,880",286
"$57,190",285
"$22,000",284
"$29,995",282
"$54,190",282
"$38,000",281
"$50,290",281
"$60,290",280
"$48,440",280
"$49,300",278
"$26,000",277
"$6,500",277
"$53,940",276
"$61,290",276
"$53,000",271
"$41,000",269
"$42,000",267
"$64,290",265
"$29,500",265
"$63,190",265
"$50,190",263
"$7,500",263
"$24,500",262
"$55,440",262
"$50,880",261
"$36,000",260
"$52,500",260
"$39,630",258
"$24,990",257
"$9,500",256
"$23,000",255
"$39,290",254
"$40,790",254
"$10,500",253
"$39,000",253
"$122,235",250
"$21,000",249
"$34,000",248
"$8,500",247
"$17,000",247
"$49,290",246
"$13,000",245
"$37,000",245
"$27,000",244
"$19,000",244
"$50,380",243
"$60,130",241
"$19,995",241
"$12,500",240
"$17,500",238
"$16,500",237
"$56,500",236
"$52,790",235
"$31,500",235
"$19,998",235
"$13,500",234
"$62,190",234
"$40,926",233
"$43,000",233
"$41,790",233
"$16,998",232
"$28,500",230
"$62,000",230
"$15,998",230
"$27,500",230
"$11,000",227
"$29,998",227
"$42,190",226
"$57,000",225
"$11,500",225
"$65,190",225
"$23,995",225
"$51,380",224
"$19,500",223
"$3,500",222
"$49,990",222
$500,222
"$47,000",221
"$44,000",219
"$23,500",218
"$60,500",218
"$58,190",217
"$64,190",217
"$65,290",216
"$52,000",216
"$15,500",214
"$14,500",214
"$58,000",214
"$51,880",213
"$46,000",213
"$72,440",212
"$22,500",212
"$55,940",212
"$32,500",211
"$5,500",210
"$4,500",210
"$60,700",210
"$23,998",210
"$2,500",210
"$26,500",208
"$50,790",206
"$68,440",205
"$26,998",205
"$65,000",205
"$63,690",205
"$18,500",204
"$59,190",202
"$41,500",202
"$48,000",201
"$36,500",199
"$18,995",198
"$55,500",198
"$23,999",196
"$17,995",196
"$49,380",196
"$51,500",196
"$14,998",196
"$53,880",196
"$50,849",195
"$33,500",195
"$48,880",194
"$49,190",194
"$50,080",193
"$38,500",192
"$51,440",192
"$39,470",192
"$51,025",192
"$53,790",191
"$59,500",191
"$47,690",190
"$53,690",190
"$1,500",188
"$21,500",188
"$52,880",188
"$47,230",186
"$54,440",184
"$60,190",184
"$49,060",183
"$34,500",183
"$18,998",182
"$22,998",182
"$17,998",181
"$61,000",180
"$29,990",180
"$42,500",180
"$51,790",180
"$39,500",180
"$37,900",179
"$37,500",178
"$27,998",178
"$20,995",176
"$81,235",176
"$21,998",175
"$20,500",175
"$61,190",175
"$62,630",173
"$48,290",172
"$39,999",171
"$25,998",170
"$66,290",170
"$24,980",170
"$35,500",170
"$70,000",170
"$9,995",170
"$58,325",170
"$56,700",169
"$19,999",169
"$42,130",169
"$49,330",168
"$21,995",166
"$34,995",166
"$24,991",165
"$55,700",164
"$28,998",164
"$28,800",163
"$49,790",162
"$54,690",162
"$48,430",161
"$22,995",161
"$54,200",160
"$61,130",160
"$41,690",160
"$24,950",160
"$39,995",159
"$60,940",157
"$16,995",157
"$33,998",156
"$59,200",156
"$21,999",156
"$44,500",156
"$20,998",156
"$54,790",156
"$36,730",156
"$63,000",156
"$53,700",156
"$34,999",155
"$39,670",155
"$32,998",154
"$36,620",153
"$51,030",152
"$74,800",152
"$73,440",151
"$62,200",151
"$52,690",150
"$64,000",147
"$22,999",147
"$52,380",146
"$43,290",145
"$54,880",145
"$30,500",144
"$74,440",144
"$36,900",144
"$29,513",143
"$44,900",143
"$58,700",142
"$25,500",142
"$8,995",142
"$17,999",142
"$50,690",141
"$59,940",141
"$57,790",141
"$67,000",140
$1,140
"$40,410",139
"$52,200",139
"$39,574",139
"$56,200",139
"$53,380",139
"$48,500",139
"$75,000",139
"$58,940",139
"$47,500",139
"$40,905",139
"$66,190",139
"$16,999",139
"$27,995",138
"$23,990",138
"$25,995",138
"$18,999",138
"$54,940",137
"$31,998",137
"$62,130",137
"$26,995",136
"$58,846",136
"$28,995",136
"$40,380",136
"$63,630",136
"$63,700",135
"$11,995",135
"$14,995",135
"$24,900",135
"$78,800",134
"$64,630",134
"$55,790",133
"$44,990",133
"$13,998",133
"$43,500",133
"$42,790",132
"$30,998",132
"$26,990",132
"$40,610",131
"$61,940",131
"$51,100",131
"$15,995",130
"$38,998",130
"$56,790",130
"$48,700",130
"$55,880",129
"$58,500",129
"$31,895",129
"$40,500",129
"$33,220",129
"$57,690",128
"$42,523",128
"$41,100",128
"$57,200",128
"$58,924",127
"$61,500",127
"$27,990",126
"$52,900",126
"$49,999",126
"$21,990",126
"$19,990",126
"$53,500",125
"$43,995",125
"$37,570",125
"$61,200",124
"$54,500",123
"$16,990",123
"$51,700",123
"$12,995",122
"$26,999",122
"$77,683",122
"$49,995",122
"$15,999",122
"$51,690",122
"$28,999",122
"$55,099",122
"$38,260",121
"$58,200",121
"$55,690",121
"$47,530",121
"$14,999",120
"$24,800",120
"$24,499",120
"$52,100",120
"$25,990",120
"$36,998",120
"$66,940",119
"$13,950",119
"$34,998",119
"$30,900",118
"$35,998",118
"$61,700",118
"$49,468",118
"$49,940",118
"$13,995",118
"$56,940",117
"$27,999",117
"$29,950",117
"$38,290",117
"$33,100",117
"$82,235",116
"$63,500",116
"$77,000",116
"$79,300",116
"$50,500",115
"$67,290",115
"$22,990",115
"$33,995",114
"$42,690",114
"$46,500",114
"$10,995",114
"$66,000",114
"$62,500",114
"$56,690",114
"$39,190",113
"$63,940",113
"$17,990",113
"$20,999",113
"$52,600",113
"$48,190",112
"$32,995",112
"$49,440",111
"$39,998",111
"$58,690",111
"$50,230",111
"$48,990",110
"$60,200",110
"$62,940",110
"$13,999",110
"$38,999",110
"$37,998",109
"$42,440",109
"$48,380",109
"$50,460",109
"$39,990",108
"$43,690",108
"$59,995",108
"$38,684",108
"$79,990",108
"$44,998",107
"$51,980",107
"$53,200",107
"$18,990",107
"$57,067",107
"$35,995",107
"$46,200",106
"$49,500",106
"$77,440",106
"$29,980",106
"$35,999",106
"$68,290",106
"$63,130",106
"$51,995",105
"$68,000",105
"$63,200",105
"$42,600",105
"$46,440",104
"$47,190",104
"$41,020",104
"$45,500",103
"$40,690",103
"$77,300",103
"$44,200",103
"$25,999",103
"$14,990",103
"$31,900",103
"$80,800",102
"$29,700",102
"$42,100",102
"$60,150",102
"$27,859",102
"$12,998",101
"$55,200",101
"$44,690",100
"$7,995",100
"$77,800",100
"$53,600",100
"$53,990",100
"$75,440",100
"$31,880",100
"$20,990",100
"$81,630",100
$100,100
"$59,600",100
"$12,999",99
"$32,999",99
"$65,940",99
"$51,295",98
"$18,950",98
"$29,860",97
"$48,495",97
"$29,991",97
"$9,999",97
"$80,630",97
"$36,200",97
"$43,510",97
"$67,940",97
"$33,900",96
"$29,880",96
"$42,880",96
"$42,990",96
"$85,000",96
"$38,900",96
"$31,990",96
"$38,200",96
"$69,000",96
"$28,990",96
"$82,800",95
"$29,800",95
"$41,999",95
"$60,690",95
"$36,800",95
"$43,190",95
"$54,100",95
"$19,950",95
"$58,790",95
"$23,991",94
"$15,990",94
"$27,800",94
"$78,440",94
"$71,000",94
"$16,950",94
"$64,500",94
"$43,999",93
"$44,100",93
"$74,000",93
"$80,000",93
"$42,998",93
"$50,990",92
"$64,690",92
"$31,995",92
"$20,950",92
"$44,600",92
"$23,950",91
"$49,410",91
"$6,995",91
"$40,998",91
"$57,700",91
"$48,550",91
"$54,595",91
"$41,130",90
"$79,800",90
"$70,940",90
"$41,880",89
"$59,750",89
"$37,120",89
"$56,880",89
"$11,999",88
"$54,990",88
"$81,130",88
"$51,900",88
"$48,670",88
"$48,999",88
"$69,290",88
"$56,344",87
"$66,690",87
"$73,000",87
"$61,676",87
"$49,713",87
"$41,900",87
"$52,795",87
"$11,998",87
"$89,235",87
"$48,995",86
"$43,790",86
"$14,950",86
"$50,620",86
"$39,790",86
"$52,614",85
"$35,800",85
"$56,550",85
"$41,440",85
"$44,991",85
"$30,995",85
"$36,999",85
"$64,130",85
"$50,590",85
"$37,999",85
"$34,200",84
"$44,495",84
"$49,998",84
"$48,040",84
"$79,000",84
"$50,310",84
"$30,990",84
"$24,880",84
"$70,290",84
"$65,900",84
"$41,380",84
"$22,950",84
"$90,000",84
"$31,999",83
"$54,600",83
"$27,900",83
"$74,500",83
"$76,000",82
"$36,600",82
"$36,995",82
"$46,220",82
"$76,440",82
"$43,880",82
"$59,999",82
"$35,900",82
"$62,700",82
"$51,200",82
"$81,300",81
"$54,380",81
"$45,998",81
"$39,700",81
"$51,510",81
"$53,100",81
"$43,998",81
"$49,690",81
"$40,700",80
"$18,991",80
"$58,100",80
"$65,700",80
"$41,700",80
"$40,990",80
"$52,990",80
"$70,190",79
"$35,400",79
"$82,300",79
"$41,200",79
"$52,590",79
"$51,390",78
"$76,500",78
"$72,000",78
"$51,990",78
"$17,950",78
"$46,700",78
"$49,200",77
"$48,998",77
"$54,901",77
"$67,190",77
"$46,710",77
"$39,080",77
"$28,900",77
"$19,991",76
"$45,730",76
"$47,990",76
"$68,190",76
"$34,880",76
"$21,950",76
"$55,300",76
"$38,995",76
"$44,290",76
"$11,950",75
"$59,690",75
"$35,950",75
"$27,950",75
"$71,700",75
"$55,380",75
"$32,900",75
"$48,200",75
"$83,000",75
"$65,690",75
"$38,895",75
"$46,449",75
"$38,160",74
"$42,999",74
"$24,299",74
"$65,500",74
"$43,430",74
"$12,950",74
"$57,400",74
"$30,999",74
"$15,950",74
"$62,400",74
"$79,500",74
"$33,990",74
"$33,999",74
"$79,600",74
"$59,790",73
"$39,900",73
"$41,998",73
"$43,600",73
"$27,200",73
"$51,250",73
"$10,999",73
"$54,700",73
"$48,175",72
"$49,600",72
"$62,447",72
"$17,900",72
"$42,700",72
"$88,630",72
"$37,990",72
"$46,998",72
"$13,991",72
"$36,300",72
"$49,700",71
"$50,200",71
"$57,600",71
"$48,100",71
"$56,342",71
"$51,447",71
"$58,600",71
"$45,690",71
"$39,690",71
"$8,999",71
"$44,380",71
"$41,949",70
"$28,880",70
"$49,400",70
"$41,995",70
"$48,950",70
"$32,300",70
"$25,950",70
"$40,999",70
"$33,400",70
"$46,690",70
"$96,000",70
"$50,920",70
"$40,880",70
"$52,700",69
"$23,900",69
"$26,900",69
"$22,900",69
"$82,790",69
"$42,995",69
"$57,990",69
"$50,700",68
"$15,991",68
"$44,800",68
"$27,100",68
"$72,940",68
"$32,400",68
"$47,100",68
"$59,700",68
"$38,990",68
"$52,930",67
"$26,950",67
"$32,990",67
"$47,700",67
"$58,990",67
"$19,900",67
"$21,900",67
"$16,991",67
"$33,600",67
"$50,870",66
"$6,800",66
"$39,490",66
"$43,380",66
"$9,998",66
"$21,991",66
"$28,895",66
"$47,380",66
"$40,200",66
"$29,400",66
"$34,800",66
"$33,800",66
"$52,999",65
"$68,940",65
"$49,570",65
"$31,700",65
"$63,600",65
"$65,400",65
"$37,760",65
"$48,300",65
"$69,190",65
"$53,110",65
"$94,790",65
"$55,900",65
"$8,950",65
"$80,235",65
"$49,726",65
"$43,905",65
"$43,200",64
"$43,440",64
"$49,947",64
"$57,950",64
"$45,700",64
"$40,940",64
"$51,400",64
"$90,235",64
"$34,300",64
"$46,250",63
"$5,995",63
"$66,500",63
"$71,500",63
"$14,991",63
"$46,990",63
"$47,998",63
"$45,995",63
"$37,290",63
"$55,400",63
"$33,880",63
"$82,000",63
"$47,995",62
"$48,790",62
"$33,300",62
"$61,450",62
"$10,998",62
"$25,900",62
"$80,500",62
"$6,200",62
"$52,120",62
"$48,600",62
"$3,800",62
"$81,100",62
"$13,990",61
"$48,800",61
"$55,707",61
"$38,495",61
"$35,990",61
"$67,850",61
"$32,800",61
"$42,200",61
"$17,991",61
"$33,991",61
"$36,990",61
"$80,200",61
"$37,200",61
"$47,999",61
"$81,000",61
"$37,510",61
"$67,500",61
"$51,600",61
"$71,940",61
"$47,440",61
"$45,200",60
"$10,950",60
"$24,799",60
"$39,600",60
"$27,590",60
"$39,910",60
"$55,600",60
"$37,615",60
"$24,498",60
"$55,800",60
"$53,950",60
"$69,500",60
"$13,350",60
"$38,700",60
"$95,550",60
"$27,991",60
"$57,940",60
"$66,950",60
"$38,630",60
"$65,498",60
"$71,290",59
"$49,110",59
"$43,990",59
"$34,990",59
"$49,900",59
"$37,700",59
"$52,250",59
"$8,998",59
"$61,862",59
"$32,100",59
"$48,900",59
"$7,999",59
"$73,800",59
"$32,845",59
"$48,395",59
"$29,300",59
"$28,991",59
"$43,100",59
"$35,700",59
"$20,991",59
"$34,600",59
"$34,991",59
"$27,400",59
"$62,300",58
"$34,400",58
"$45,990",58
"$9,800",58
"$28,200",58
"$16,900",58
"$26,991",58
"$41,248",58
"$37,300",58
"$140,500",58
"$45,999",58
"$4,200",58
"$56,250",58
"$15,900",58
"$43,700",57
"$57,995",57
"$12,900",57
"$36,400",57
"$42,900",57
"$76,161",57
"$54,995",57
"$28,600",57
"$56,990",57
"$63,900",57
"$29,600",57
"$49,800",57
"$61,690",57
"$5,200",57
"$62,690",57
"$62,600",57
"$51,999",57
"$47,180",57
"$52,460",57
"$58,400",57
"$30,800",57
"$24,495",57
"$28,400",57
"$99,500",57
"$73,600",57
"$49,465",57
"$24,700",57
"$75,500",56
"$31,991",56
"$4,800",56
"$24,997",56
"$88,300",56
"$33,700",56
"$59,990",56
"$56,400",56
"$42,420",56
"$41,300",56
"$59,400",56
"$39,300",56
"$47,734",56
"$15,800",56
"$50,998",56
"$34,900",56
"$50,950",56
"$45,445",56
"$43,400",55
"$22,991",55
"$79,590",55
"$8,800",55
"$28,980",55
"$25,590",55
"$62,100",55
"$60,800",55
"$42,800",55
"$49,750",55
"$49,370",55
"$94,000",55
"$65,630",55
"$37,360",55
"$32,700",54
"$30,300",54
"$64,940",54
"$69,999",54
"$83,130",54
"$37,995",54
"$28,590",54
"$50,947",54
