value,count
"July 31, 2024",4480
"July 08, 2025",3210
"April 16, 2026",2934
"May 01, 2024",2842
"September 02, 2025",2719
"February 09, 2026",2534
"September 12, 2024",2530
"May 30, 2024",2506
"January 05, 2026",2427
"May 26, 2026",2423
"October 06, 2025",2423
"July 07, 2025",2406
"March 09, 2026",2299
"September 03, 2024",2285
"December 01, 2025",2241
"February 17, 2026",2228
"November 12, 2024",2216
"July 09, 2024",2178
"October 07, 2025",2175
"May 12, 2026",2169
"May 29, 2026",2134
"April 20, 2026",2118
"April 08, 2026",2095
"May 04, 2026",2077
"May 27, 2025",2072
"October 09, 2025",2045
"June 02, 2025",2036
"December 02, 2024",2035
"January 09, 2025",2027
"January 20, 2026",2024
"January 10, 2024",2013
"October 08, 2025",2006
"August 07, 2025",1998
"April 21, 2026",1993
"December 08, 2025",1982
"October 29, 2024",1969
"November 03, 2025",1952
"October 04, 2022",1939
"March 02, 2026",1930
"March 05, 2026",1928
"January 21, 2025",1928
"December 14, 2023",1927
"March 16, 2026",1923
"October 05, 2023",1921
"February 02, 2026",1919
"February 03, 2026",1917
"January 03, 2025",1916
"December 11, 2024",1915
"October 02, 2025",1898
"August 07, 2024",1898
"September 05, 2025",1895
"January 27, 2026",1890
"June 30, 2025",1879
"September 16, 2025",1877
"September 20, 2024",1873
"May 01, 2026",1864
"April 13, 2026",1861
"May 15, 2025",1854
"March 18, 2025",1842
"March 06, 2025",1841
"June 07, 2023",1841
"December 29, 2025",1833
"September 04, 2025",1831
"January 22, 2025",1822
"October 08, 2024",1821
"October 03, 2025",1808
"August 01, 2024",1805
"August 08, 2023",1801
"June 21, 2024",1796
"July 12, 2024",1787
"September 11, 2025",1780
"August 28, 2024",1776
"December 03, 2024",1770
"October 22, 2025",1770
"April 29, 2026",1767
"September 25, 2024",1766
"December 18, 2024",1762
"May 08, 2025",1761
"February 11, 2025",1761
"January 30, 2025",1760
"January 18, 2024",1759
"May 11, 2026",1756
"July 11, 2024",1753
"August 14, 2025",1751
"November 12, 2025",1750
"October 30, 2025",1749
"April 30, 2026",1748
"January 02, 2025",1745
"June 18, 2025",1740
"September 15, 2025",1739
"May 30, 2023",1732
"November 06, 2025",1731
"November 04, 2025",1729
"January 12, 2026",1724
"April 06, 2026",1717
"July 17, 2025",1716
"March 30, 2026",1713
"March 31, 2025",1713
"April 24, 2026",1710
"September 08, 2025",1710
"July 03, 2025",1710
"May 18, 2026",1707
"September 03, 2025",1704
"March 10, 2025",1702
"January 02, 2026",1701
"January 15, 2025",1701
"April 07, 2025",1701
"August 01, 2025",1699
"May 05, 2025",1699
"August 04, 2025",1696
"August 20, 2024",1692
"January 16, 2024",1692
"August 11, 2025",1690
"July 01, 2025",1686
"July 25, 2024",1683
"March 23, 2026",1680
"April 02, 2025",1675
"May 20, 2026",1672
"April 17, 2025",1671
"January 16, 2026",1667
"June 09, 2025",1664
"March 03, 2025",1662
"October 15, 2025",1659
"January 28, 2025",1652
"February 01, 2024",1646
"April 14, 2025",1643
"October 04, 2023",1643
"October 15, 2024",1640
"August 12, 2025",1640
"January 13, 2026",1639
"October 01, 2025",1635
"May 28, 2024",1633
"April 27, 2026",1631
