value,count
7SAYGDEE7P,5831
7SAYGDEE6P,5800
7SAYGDEE5P,5655
7SAYGDEEXP,5653
7SAYGDEE8P,5617
7SAYGDEE2P,5582
7SAYGDEE0P,5513
7SAYGDEE9P,5493
7SAYGDEE3P,5405
7SAYGDEE1P,5328
7SAYGDEE4P,5315
1N4AZ0CP6D,3763
1N4AZ0CPXD,3631
1N4AZ0CP4D,3626
5YJYGDEE0M,3554
5YJYGDEE9M,3547
1N4AZ0CP1D,3526
1N4AZ0CP2D,3494
1N4AZ0CP9D,3462
1N4AZ0CP3D,3460
5YJYGDEE7M,3446
5YJYGDEE8M,3403
1N4AZ0CP5D,3380
5YJYGDEE2M,3361
1N4AZ0CP0D,3340
5YJYGDEEXM,3302
5YJYGDEE6M,3300
5YJ3E1EB6J,3285
5YJ3E1EB4J,3282
5YJ3E1EB1J,3280
5YJ3E1EB0J,3272
5YJ3E1EBXJ,3212
5YJ3E1EB5J,3208
1N4AZ0CP8D,3203
5YJYGDEE3M,3202
5YJ3E1EB3J,3199
5YJ3E1EB2J,3189
5YJ3E1EB8J,3163
5YJYGDEE5M,3149
5YJYGDEE4M,3149
1N4AZ0CP8F,3141
5YJYGDEE1M,3121
1N4AZ0CP7D,3116
1N4AZ0CP0F,3058
1N4AZ0CP3F,3026
5YJ3E1EB9J,3015
1N4AZ0CP1F,3007
1N4AZ0CP2F,2993
5YJ3E1EA1J,2891
5YJ3E1EB7J,2887
1N4AZ0CP4F,2857
1N4AZ0CP7F,2815
1N4AZ0CP5F,2782
1N4AZ0CP9F,2777
5YJ3E1EA5J,2740
5YJ3E1EA0J,2734
5YJ3E1EA3J,2726
5YJ3E1EA9J,2712
5YJ3E1EA4J,2682
5YJ3E1EA2J,2681
5YJ3E1EA7J,2625
1N4AZ0CPXF,2576
5YJ3E1EA6J,2566
5YJ3E1EAXJ,2548
5YJ3E1EA2P,2499
7SAYGDEEXN,2497
7SAYGDEE8N,2481
5YJ3E1EA6P,2471
5YJ3E1EA4P,2458
5YJ3E1EA8J,2449
1N4AZ0CP6F,2432
7SAYGDEE3N,2408
5YJ3E1EA5P,2392
7SAYGDEE4N,2383
5YJ3E1EBXK,2380
5YJ3E1EA7P,2358
7SAYGDEE9N,2357
5YJ3E1EAXP,2355
5YJ3E1EA1P,2352
5YJ3E1EA0P,2348
5YJ3E1EA9P,2323
7SAYGDEE9T,2318
7SAYGDEE5N,2312
7SAYGDEE6N,2310
5YJ3E1EA8P,2305
7SAYGDEE6T,2302
7SAYGDEE1N,2289
7SAYGDEE7N,2288
7SAYGDEE2N,2287
7SAYGDEE0T,2284
7SAYGDEE1T,2282
7SAYGDEE8T,2272
5YJ3E1EB3K,2264
7SAYGDEE4T,2259
7SAYGDEE5T,2251
7SAYGDEE0N,2230
7SAYGDEEXT,2206
5YJ3E1EA3P,2183
7SAYGDEE8R,2132
7SAYGDEE3T,2131
7SAYGDEE2T,2124
7SAYGDEE7T,2097
5YJ3E1EB0K,2095
5YJ3E1EB0N,2095
7SAYGDEE4R,2089
7SAYGDEEXR,2088
7SAYGDEE2R,2065
5YJ3E1EB4N,2064
5YJ3E1EB1K,2057
5YJ3E1EB7N,2036
5YJ3E1EBXN,2036
7SAYGDEE0R,2029
5YJ3E1EB9K,2022
7SAYGDEE9R,2003
5YJ3E1EB2N,2001
7SAYGDEE3R,1996
5YJ3E1EB5N,1988
5YJ3E1EB9N,1982
5YJ3E1EB6K,1977
7SAYGDEE5R,1952
5YJ3E1EB5K,1931
5YJ3E1EB2K,1929
7SAYGDEE7R,1924
7SAYGDEE6R,1919
5YJ3E1EB8N,1910
5YJ3E1EB1N,1896
5YJ3E1EB6N,1881
5YJ3E1EB4K,1871
5YJ3E1EB3N,1850
7SAYGDEE1R,1838
5YJ3E1EB8K,1807
5YJ3E1EB7K,1721
5YJ3E1EAXK,1702
5YJ3E1EA5K,1696
5YJ3E1EA6K,1616
JN1AZ0CP6B,1592
JN1AZ0CP6C,1579
7SAYGAEE2P,1551
5YJ3E1EA9K,1540
JN1AZ0CP9B,1535
5YJ3E1EA8K,1532
5YJ3E1EB6L,1523
5YJ3E1EA4K,1520
JN1AZ0CP0B,1514
5YJ3E1EA0K,1514
5YJ3E1EA7K,1512
JN1AZ0CP1B,1508
JN1AZ0CP7B,1492
5YJ3E1EB7L,1483
7SAYGAEE9P,1478
JN1AZ0CP4B,1474
5YJYGDEE1L,1469
5YJ3E1EB8L,1456
7SAYGAEE6P,1448
5YJ3E1EA3K,1443
5YJ3E1EA1K,1441
5YJYGDEEXL,1440
5YJ3E1EB2L,1440
1N4AZ1CP9J,1436
5YJYGDEE4L,1434
